종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금
002070,비비안,-4137,-19614845,0.0,0.0,3991.0,18932590.0,,,4655,-1.38,125596080
002100,경농,-19313,-180324185,6819.0,63872630.0,14493.0,135066185.0,0.0,0.0,9310,0.98,450860350
002140,고려산업,-16781,-34288515,-44.0,-90640.0,16825.0,34379155.0,0.0,0.0,2060,-0.48,597823775
002150,도화엔지니어링,3459,19070210,1480.0,7582620.0,-4929.0,-26599130.0,0.0,0.0,5350,2.69,496484205
002170,SYTS,-418,-23428300,989.0,55136800.0,-571.0,-31708500.0,0.0,0.0,55000,0.0,126515600
002200,한국수출포장,3109,8475870,-105.0,-266190.0,-13330.0,-35958630.0,10326.0,27748950.0,2700,-0.37,104403335
002210,동성제약,9234,13108353,-1642.0,-2372582.0,-7592.0,-10735771.0,,,1418,0.07,65675978
002220,한일철강,25437,76188100,-65.0,-202205.0,-25172.0,-75372895.0,,,2905,-2.84,443737890
002240,고려제강,318,5477280,37.0,881490.0,-342.0,-6133090.0,-13.0,-225680.0,17200,-1.55,264808090
002310,아세아제지,-5074,-43679040,1954.0,16856170.0,3614.0,31158590.0,-507.0,-4447400.0,8610,1.89,562163665
002320,한진,1209,17637510,-37.0,-405690.0,-1169.0,-17186200.0,0.0,0.0,14870,0.95,333323840
002350,넥센타이어,17499,106483510,236.0,1502930.0,-17502.0,-106578060.0,-243.0,-1469580.0,6080,0.5,416110360
002355,넥센타이어1우B,17,69090,-518.0,-2022790.0,501.0,1953700.0,,,3910,-0.13,8966500
002360,SH에너지화학,-2020,-3228594,-386.0,-631336.0,2406.0,3859930.0,,,1618,0.37,24806707
002380,KCC,-1658,-808917500,6403.0,3100193750.0,-4733.0,-2285413250.0,-3.0,-1502500.0,485000,1.15,13851574250
002390,한독,1764,17405630,31.0,295120.0,-1295.0,-12940710.0,-500.0,-4760040.0,9520,-1.14,258125370
002420,우양피앤엘,-433,-2718980,1095.0,6493710.0,-662.0,-3774730.0,,,5870,2.62,64489780
002450,삼익악기,-22235,-25566194,64833.0,74510015.0,-42598.0,-48943821.0,0.0,0.0,1152,0.88,184710025
002460,HS화성,183,1874670,1382.0,15293380.0,-1665.0,-18257050.0,100.0,1089000.0,10890,0.0,106534440
002600,조흥,0,0,,,,,0.0,0.0,137100,-0.58,1512600
002620,제일파마홀딩스,343,2618530,28.0,219490.0,-371.0,-2838020.0,,,7650,1.19,6026640
002690,동일제강,-411,-545215,237.0,341581.0,174.0,203634.0,,,1479,0.27,28251930
